,game_id,team,opponent,season,game_number,margin,margin_against,epa,epa_against,epa_net,epa_net_opponent,wepa,d_wepa_against,wepa_net,wepa_against,d_wepa,wepa_net_opponent
1848,2009_12_CHI_MIN,CHI,MIN,2009,11.0,-26.0,26.0,-7.449906994349325,19.071665417437206,-26.52157241178653,26.52157241178653,-4.426495503407684,3.6381558689204594,-8.064651372328143,21.875521462225013,-3.1844284030699495,25.05994986529496
1849,2009_13_LAR_CHI,CHI,LAR,2009,12.0,8.0,-8.0,-5.36363192028845,-11.101187737949658,5.7375558176612085,-5.7375558176612085,-2.53080530714569,-12.413648713640312,9.882843406494622,-11.475563363467327,-9.38264806877584,-2.092915294691487
1850,2009_14_GB_CHI,CHI,GB,2009,13.0,-7.0,7.0,-18.652162719625114,-0.31771523759171405,-18.3344474820334,18.3344474820334,-15.7175289888828,2.3836396469143946,-18.101168635797194,5.803595680455373,-15.213917505787244,21.017513186242617
1851,2009_15_CHI_BAL,CHI,BAL,2009,14.0,-24.0,24.0,-28.761835542818364,-4.172346328639222,-24.589489214179142,24.589489214179142,-18.180573655504727,-5.749577936142842,-12.430995719361885,-2.504296020950371,-18.955573127572308,16.451277106621937
1852,2009_16_MIN_CHI,CHI,MIN,2009,15.0,6.0,-6.0,16.55701149857351,12.953034978396929,3.6039765201765803,-3.6039765201765803,16.47674261293148,10.833708981188154,5.643033631743327,3.1231258079320594,11.561091953045622,-8.437966145113563
1853,2009_17_CHI_DET,CHI,DET,2009,16.0,14.0,-14.0,14.713115671209993,-1.6216147754327372,16.33473044664273,-16.33473044664273,10.24480793927931,-6.788323148736272,17.033131088015583,-5.394280598180312,3.1810850102941255,-8.575365608474437
1854,2010_01_DET_CHI,CHI,DET,2010,1.0,5.0,-5.0,-14.353706723520833,-18.321113607711286,3.967406884190453,-3.967406884190453,-11.063075823273115,-14.20034519965797,3.1372693763848556,-23.15786124599527,-9.269927406431712,-13.887933839563559
1855,2010_02_CHI_DAL,CHI,DAL,2010,2.0,7.0,-7.0,2.7736879170076323,-6.8556523571243915,9.629340274132023,-9.629340274132023,-2.88293888950001,-6.186612409286678,3.303673519786668,-10.572108720599,-1.358258375297326,-9.213850345301672
1856,2010_03_GB_CHI,CHI,GB,2010,3.0,3.0,-3.0,3.7967023416025167,2.7862645467870006,1.010437794815516,-1.010437794815516,11.123095530091007,3.1779101872296045,7.945185342861402,9.189349591963612,6.009797302751594,3.179552289212018
1857,2010_04_CHI_NYG,CHI,NYG,2010,4.0,-14.0,14.0,-31.282296557794325,-18.31280543415581,-12.969491123638516,12.969491123638516,-35.68467919135474,-12.72473489382646,-22.95994429752828,-18.533168557043222,-21.589361909924506,3.0561933528812837
1858,2010_05_CHI_CAR,CHI,CAR,2010,5.0,17.0,-17.0,-10.619567987548784,-31.507194533362053,20.88762654581327,-20.88762654581327,-2.7174836103246927,-25.940838474317133,23.22335486399244,-25.972875562793128,-9.117598758568402,-16.855276804224726
1859,2010_06_SEA_CHI,CHI,SEA,2010,6.0,-3.0,3.0,-6.559681738184431,-1.4456761393826092,-5.114005598801822,5.114005598801822,-11.316710526111455,-9.6108649340967,-1.7058455920147555,-8.116802133571495,-3.922866119014427,-4.193936014557067
